rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
251	1	2	2	0.488685490852712	-19.4799839473638	1	46.6550779345998	C12H14O4	[M - H2O + H]+	YZBOVSFWWNVKRJ	InChI=1S/C12H14O4/c1-2-3-8-16-12(15)10-7-5-4-6-9(10)11(13)14/h4-7H,2-3,8H2,1H3,(H,13,14)	monobutyl ester	CCCCOC(=O)C1=CC=CC=C1C(=O)O	2.53328919	8575;21584886;71750779;101678631;101678632	HMDB:(13247);ZINC bio:(ZINC01586773);additional;MeSH:(8575);PubMed;NORMAN:(NS00006195);COCONUT:(CNP0257384);Natural Products:(UNPD135299);PubChem:(8575 21584886 71750779 101678631 101678632);CHEBI:(88522);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;KEGG Mine	8676761710	205.086196899414	520.878982543945	2539_ms2_res_3386
252	1	1	1	0.487502288091897	-3.34803020151107	1	43.8774967608169	C24H50NO6P	[M + H]+	HTZINLFNXLXRBC	InChI=1S/C24H50NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-29-22-24(26)23-31-32(27,28)30-21-19-25(2,3)4/h18,20,24,26H,5-17,19,21-23H2,1-4H3/p+1	Lysoplasmenylcholine	CCCCCCCCCCCCCCC=COCC(COP(=O)(O)OCC[N+](C)(C)C)O	6.19999981	9546720;9546721;9546722;10814552;10906944;10906945;10917802;11733528;11733529;24779525;57042135	COCONUT:(CNP0328951);HMDB:(10407);PubChem:(9546720 9546721 9546722 10814552 10906944 10906945 10917802 11733528 11733529 24779525 57042135);YMDB Mine;CHEBI:(73850);additional;MeSH:(10917802);Training Set;PubMed	34362376302	480.34521484375	577.067127227783	2817_ms2_res_3762
253	1	1	1	0.484192437392448	-21.1878197487605	1	6044.65632223996	C28H54NO7P	[M + H]+	YYQVCMMXPIJVHY	InChI=1S/C28H54NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h9-10,12-13,27,30H,5-8,11,14-26H2,1-4H3/p+1	Lysophosphatidylcholine(20:2/0:0)	CCCCCC=CCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	6.19999981	52924053;52924054;134783144;134783145;138310096;138310097	COCONUT:(CNP0082503);HMDB:(10392);PubChem:(52924053 52924054 134783144 134783145 138310096 138310097);YMDB Mine;CHEBI:(83055);PubMed;Lipid:(LPC(20:2))	38656802922	548.372009277344	579.431018829346	2828_ms2_res_3778
254	1	3	3	0.48096020386668	-5.77316898895007	1	155.982259238922	C19H28O2	[M + H]+	MUMGGOZAMZWBJJ	InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3	AndroGel	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C	3.91829371	5408;6013;10204;51519;638016;711503;186663;242356;1312122;908606;908607;908608;369323;3034651;2825665;5701998;5113668;7048589;7213985;7213991;6432567;6541863;7985137;6925433;6954100;6954101;6976807;6994116;12133254;12304591;12304592;12304594;12304595;12304596;12304598;12304599;12304601;11514789;10063008;10108190;11861311;11862155;11869421;11869422;11869423;11870497;11890585;11890586;11920270;10469710;16758160;19615208;16220011;20848917;22876164;25194010;40785049;40469851;42617508;45040472;45934498;51508681;54091975;57094693;57185304;56619059;59742684;59476910;59847731;59859271;58483165;69324966;71752372;71752373;71045971;71045973;71051775;71085514;71308510;70987786;70987811;76973624;76973625;76973688;76973910;87229213;90853383;90894199;89267320;90997747;90470971;89910901;91667979;117072371;121384949;123583196;124711639;124711640;126527172;131705754;131708434;133562488;133687197;133687198;133687199;134688084;135564959;135012819;139228436;138319983;138402770	HMDB:(234 628);PubChem class - food;SuperNatural:(SN00011238 SN00119248 SN00128381 SN00006661 SN00395112 SN00005977 SN00017924 SN00364158 SN00018451 SN00348401 SN00005978 SN00162241 SN00006660 SN00006662 SN00018449 SN00014142 SN00011230 SN00018450);ZINC bio:(ZINC01138943 ZINC03875070 ZINC03875071 ZINC03875072 ZINC03983870 ZINC03983871 ZINC03983872 ZINC04538008 ZINC04544325 ZINC08681591 ZINC08681592 ZINC12404016 ZINC12494147 ZINC12494152);additional;HSDB:(58-22-0);MeSH:(6013 10204 12304591);Plantcyc:(TESTOSTERONE);PubMed;NORMAN:(NS00008414);COCONUT:(CNP0201721);KNApSAcK:(3675);Natural Products:(UNPD19385 UNPD104355 UNPD181802 UNPD62092 UNPD121956 UNPD146773);PubChem:(5408 6013 10204 51519 638016 711503 186663 242356 1312122 908606 908607 908608 369323 3034651 2825665 5701998 5113668 7048589 7213985 7213991 6432567 6541863 7985137 6925433 6954100 6954101 6976807 6994116 12133254 12304591 12304592 12304594 12304595 12304596 12304598 12304599 12304601 11514789 10063008 10108190 11861311 11862155 11869421 11869422 11869423 11870497 11890585 11890586 11920270 10469710 16758160 19615208 16220011 20848917 22876164 25194010 40785049 40469851 42617508 45040472 45934498 51508681 54091975 57094693 57185304 56619059 59742684 59476910 59847731 59859271 58483165 69324966 71752372 71752373 71045971 71045973 71051775 71085514 71308510 70987786 70987811 76973624 76973625 76973688 76973910 87229213 90853383 90894199 89267320 90997747 90470971 89910901 91667979 117072371 121384949 123583196 124711639 124711640 126527172 131705754 131708434 133562488 133687197 133687198 133687199 134688084 135564959 135012819 139228436 138319983 138402770);CHEBI:(94444 17347 42534);PubChem class - bio and metabolites;KEGG:(C00535);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(TESTOSTERONE)	255781758	289.216217041016	452.118558883667	2199_ms2_res_2932
255	1	1	1	0.480524041712645	-31.2788064165043	1	7034.19143594128	C26H50NO7P	[M + Na]+	SPJFYYJXNPEZDW	InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h9-10,12-13,25,28H,5-8,11,14-24H2,1-4H3/p+1	1-18:2-lysophosphatidylcholine	CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.0999999	440220;5795662;5280646;5313990;11005824;11988421;20137875;27073180;27073181;101678051;123194483;134767497	HMDB:(10386);SuperNatural:(SN00024230 SN00024231);ZINC bio:(ZINC16343122 ZINC16343125);Plantcyc:(CPD-8347);PubMed;Lipid:(LPC(18:2));COCONUT:(CNP0012462 CNP0086786);Natural Products:(UNPD43989);PubChem:(440220 5795662 5280646 5313990 11005824 11988421 20137875 27073180 27073181 101678051 123194483 134767497);CHEBI:(28733);KEGG:(C04100);YMDB:(2212);Biocyc:(CPD-8347)	4298353002	542.3251953125	545.331745147705	2659_ms2_res_3547
256	1	1	1	0.480524041712645	-31.2788064165043	1	7034.19143594128	C26H50NO7P	[M + Na]+	SPJFYYJXNPEZDW	InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h9-10,12-13,25,28H,5-8,11,14-24H2,1-4H3/p+1	1-18:2-lysophosphatidylcholine	CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.0999999	440220;5795662;5280646;5313990;11005824;11988421;20137875;27073180;27073181;101678051;123194483;134767497	HMDB:(10386);SuperNatural:(SN00024230 SN00024231);ZINC bio:(ZINC16343122 ZINC16343125);Plantcyc:(CPD-8347);PubMed;Lipid:(LPC(18:2));COCONUT:(CNP0012462 CNP0086786);Natural Products:(UNPD43989);PubChem:(440220 5795662 5280646 5313990 11005824 11988421 20137875 27073180 27073181 101678051 123194483 134767497);CHEBI:(28733);KEGG:(C04100);YMDB:(2212);Biocyc:(CPD-8347)	4298353002	542.3251953125	541.238708496094	2640_ms2_res_3520
257	1	2	2	0.478814705206753	-10.0424195324005	1	38.6355113883246	C11H21NO4	[M + H]+	QWYFHHGCZUCMBN	InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/p+1	Butyrylcarnitine	CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	0.600000024	213114;213115;213144;213145;439829;439830;46780958;46780959;71309894;89442497;89442498;129316410;133687769;133687770	HMDB:(2013);SuperNatural:(SN00002061 SN00002062);ZINC bio:(ZINC01529540 ZINC01529541);additional;MeSH:(213144 213145);PubMed;COCONUT:(CNP0082963);PubChem:(213114 213115 213144 213145 439829 439830 46780958 46780959 71309894 89442497 89442498 129316410 133687769 133687770);CHEBI:(7676 21949);PubChem class - bio and metabolites;KEGG:(C02862);PubChem class - safety and toxic;YMDB:(1536);Training Set;Biocyc:(CPD-19738)	87648622	232.154479980469	176.372694969177	872_ms2_res_1163
258	1	2	2	0.478778732221586	-10.0427309372389	1	38.6355113883246	C11H21NO4	[M + H]+	QWYFHHGCZUCMBN	InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/p+1	Butyrylcarnitine	CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	0.600000024	213114;213115;213144;213145;439829;439830;46780958;46780959;71309894;89442497;89442498;129316410;133687769;133687770	HMDB:(2013);SuperNatural:(SN00002061 SN00002062);ZINC bio:(ZINC01529540 ZINC01529541);additional;MeSH:(213144 213145);PubMed;COCONUT:(CNP0082963);PubChem:(213114 213115 213144 213145 439829 439830 46780958 46780959 71309894 89442497 89442498 129316410 133687769 133687770);CHEBI:(7676 21949);PubChem class - bio and metabolites;KEGG:(C02862);PubChem class - safety and toxic;YMDB:(1536);Training Set;Biocyc:(CPD-19738)	87648622	232.15446472168	168.992800712585	836_ms2_res_1115
259	1	2	2	0.478778732221586	-10.0427309372389	1	38.6355113883246	C11H21NO4	[M + H]+	QWYFHHGCZUCMBN	InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/p+1	Butyrylcarnitine	CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	0.600000024	213114;213115;213144;213145;439829;439830;46780958;46780959;71309894;89442497;89442498;129316410;133687769;133687770	HMDB:(2013);SuperNatural:(SN00002061 SN00002062);ZINC bio:(ZINC01529540 ZINC01529541);additional;MeSH:(213144 213145);PubMed;COCONUT:(CNP0082963);PubChem:(213114 213115 213144 213145 439829 439830 46780958 46780959 71309894 89442497 89442498 129316410 133687769 133687770);CHEBI:(7676 21949);PubChem class - bio and metabolites;KEGG:(C02862);PubChem class - safety and toxic;YMDB:(1536);Training Set;Biocyc:(CPD-19738)	87648622	232.154495239258	180.299549102783	891_ms2_res_1188
260	1	2	2	0.478718901008548	-10.0447448564891	1	38.6355113883246	C11H21NO4	[M + H]+	QWYFHHGCZUCMBN	InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/p+1	Butyrylcarnitine	CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	0.600000024	213114;213115;213144;213145;439829;439830;46780958;46780959;71309894;89442497;89442498;129316410;133687769;133687770	HMDB:(2013);SuperNatural:(SN00002061 SN00002062);ZINC bio:(ZINC01529540 ZINC01529541);additional;MeSH:(213144 213145);PubMed;COCONUT:(CNP0082963);PubChem:(213114 213115 213144 213145 439829 439830 46780958 46780959 71309894 89442497 89442498 129316410 133687769 133687770);CHEBI:(7676 21949);PubChem class - bio and metabolites;KEGG:(C02862);PubChem class - safety and toxic;YMDB:(1536);Training Set;Biocyc:(CPD-19738)	87648622	232.15446472168	172.636585235596	854_ms2_res_1139
261	1	2	2	0.476542892980735	-6.29289637232247	1	42.4132313221247	C8H11NO	[M - H2O + H]+	ULSIYEODSMZIPX	InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2	bmse000307	C1=CC=C(C=C1)C(CN)O	0.315441757	1000;643217;450537;4745144;10606812;6951163;6951164;6951165;15968885;71751616	HMDB:(1065 62626);SuperNatural:(SN00118560 SN00118561 SN00225187);ZINC bio:(ZINC00403283 ZINC00403284);additional;MeSH:(1000);PubMed;NORMAN:(NS00014647);COCONUT:(CNP0082756 CNP0107878);Natural Products:(UNPD39583);PubChem:(1000 643217 450537 4745144 10606812 6951163 6951164 6951165 15968885 71751616);YMDB Mine;CHEBI:(57741 16343);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C02735);PubChem class - safety and toxic;Training Set;Biocyc:(PHENYLETHANOLAMINE)	51627485550	120.081001281738	169.471564292908	838_ms2_res_1118
262	1	2	2	0.476542892980735	-6.29289637232247	1	42.4132313221247	C8H11NO	[M - H2O + H]+	ULSIYEODSMZIPX	InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2	bmse000307	C1=CC=C(C=C1)C(CN)O	0.315441757	1000;643217;450537;4745144;10606812;6951163;6951164;6951165;15968885;71751616	HMDB:(1065 62626);SuperNatural:(SN00118560 SN00118561 SN00225187);ZINC bio:(ZINC00403283 ZINC00403284);additional;MeSH:(1000);PubMed;NORMAN:(NS00014647);COCONUT:(CNP0082756 CNP0107878);Natural Products:(UNPD39583);PubChem:(1000 643217 450537 4745144 10606812 6951163 6951164 6951165 15968885 71751616);YMDB Mine;CHEBI:(57741 16343);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C02735);PubChem class - safety and toxic;Training Set;Biocyc:(PHENYLETHANOLAMINE)	51627485550	120.08097076416	162.643933296204	802_ms2_res_1070
263	1	2	2	0.476542892980735	-6.29289637232247	1	42.4132313221247	C8H11NO	[M - H2O + H]+	ULSIYEODSMZIPX	InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2	bmse000307	C1=CC=C(C=C1)C(CN)O	0.315441757	1000;643217;450537;4745144;10606812;6951163;6951164;6951165;15968885;71751616	HMDB:(1065 62626);SuperNatural:(SN00118560 SN00118561 SN00225187);ZINC bio:(ZINC00403283 ZINC00403284);additional;MeSH:(1000);PubMed;NORMAN:(NS00014647);COCONUT:(CNP0082756 CNP0107878);Natural Products:(UNPD39583);PubChem:(1000 643217 450537 4745144 10606812 6951163 6951164 6951165 15968885 71751616);YMDB Mine;CHEBI:(57741 16343);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C02735);PubChem class - safety and toxic;Training Set;Biocyc:(PHENYLETHANOLAMINE)	51627485550	120.081016540527	173.15719127655	856_ms2_res_1142
264	1	2	2	0.476540731816027	-6.28912914985051	1	42.4132313221247	C8H11NO	[M - H2O + H]+	ULSIYEODSMZIPX	InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2	bmse000307	C1=CC=C(C=C1)C(CN)O	0.315441757	1000;643217;450537;4745144;10606812;6951163;6951164;6951165;15968885;71751616	HMDB:(1065 62626);SuperNatural:(SN00118560 SN00118561 SN00225187);ZINC bio:(ZINC00403283 ZINC00403284);additional;MeSH:(1000);PubMed;NORMAN:(NS00014647);COCONUT:(CNP0082756 CNP0107878);Natural Products:(UNPD39583);PubChem:(1000 643217 450537 4745144 10606812 6951163 6951164 6951165 15968885 71751616);YMDB Mine;CHEBI:(57741 16343);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C02735);PubChem class - safety and toxic;Training Set;Biocyc:(PHENYLETHANOLAMINE)	51627485550	120.081024169922	176.90269947052	874_ms2_res_1166
265	1	2	2	0.476540731816027	-6.28912914985051	1	42.4132313221247	C8H11NO	[M - H2O + H]+	ULSIYEODSMZIPX	InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2	bmse000307	C1=CC=C(C=C1)C(CN)O	0.315441757	1000;643217;450537;4745144;10606812;6951163;6951164;6951165;15968885;71751616	HMDB:(1065 62626);SuperNatural:(SN00118560 SN00118561 SN00225187);ZINC bio:(ZINC00403283 ZINC00403284);additional;MeSH:(1000);PubMed;NORMAN:(NS00014647);COCONUT:(CNP0082756 CNP0107878);Natural Products:(UNPD39583);PubChem:(1000 643217 450537 4745144 10606812 6951163 6951164 6951165 15968885 71751616);YMDB Mine;CHEBI:(57741 16343);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C02735);PubChem class - safety and toxic;Training Set;Biocyc:(PHENYLETHANOLAMINE)	51627485550	120.081008911133	159.278926849365	784_ms2_res_1046
266	1	2	2	0.47632853423181	-6.2908251457116	1	42.4132313221247	C8H11NO	[M - H2O + H]+	ULSIYEODSMZIPX	InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2	bmse000307	C1=CC=C(C=C1)C(CN)O	0.315441757	1000;643217;450537;4745144;10606812;6951163;6951164;6951165;15968885;71751616	HMDB:(1065 62626);SuperNatural:(SN00118560 SN00118561 SN00225187);ZINC bio:(ZINC00403283 ZINC00403284);additional;MeSH:(1000);PubMed;NORMAN:(NS00014647);COCONUT:(CNP0082756 CNP0107878);Natural Products:(UNPD39583);PubChem:(1000 643217 450537 4745144 10606812 6951163 6951164 6951165 15968885 71751616);YMDB Mine;CHEBI:(57741 16343);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C02735);PubChem class - safety and toxic;Training Set;Biocyc:(PHENYLETHANOLAMINE)	51627485550	120.08097076416	166.025948524475	820_ms2_res_1094
267	1	1	1	0.471035484915249	-3.70475328724408	1	70.1426326627837	C26H54NO6P	[M + H]+	WBOMIOWRFSPZMC	InChI=1S/C26H54NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-31-24-26(28)25-33-34(29,30)32-23-21-27(2,3)4/h20,22,26,28H,5-19,21,23-25H2,1-4H3/p+1	1-(1-enyl-stearoyl)-glycero-3-phosphocholine	CCCCCCCCCCCCCCCCC=COCC(COP(=O)(O)OCC[N+](C)(C)C)O	7.30000019	10601713;9546724;9546725;24779527;85036786;133017425	COCONUT:(CNP0338413);HMDB:(13122);PubChem:(10601713 9546724 9546725 24779527 85036786 133017425);YMDB Mine;CHEBI:(88779 133662);additional;PubChem class - bio and metabolites;Training Set	34379153450	508.376708984375	584.684658050537	2854_ms2_res_3814
268	10	2	4	0.46737879615299	-72.0893526398912	0.0105527638190955	-1.08250660282747	C7H12O4P2	[M - H2O + H]+	WGJUFXBKFDZKTA	InChI=1S/C7H12O4P2/c1-13(10,11,12(8)9)7-5-3-2-4-6-7/h2-6,8-11H,1H3	null	CP(C1=CC=CC=C1)(O)(O)P(O)O	-0.5	87408187	PubChem:(87408187)	2	205.017730712891	201.118626594543	993_ms2_res_1324
269	1	1	1	0.462987246111011	-236.645595712883	0	148.077627888254	C26H39NO4	[M + H]+	IJLDZRNZLFIXNJ	InChI=1S/C26H39NO4/c1-17(5-4-12-27)20-6-7-21-24-22(9-11-26(20,21)3)25(2)10-8-19(30-15-28)13-18(25)14-23(24)31-16-29/h15-24H,4-11,13-14H2,1-3H3	null	CC(CCC#N)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)OC=O)C)OC=O)C	6.30000019	130361996	PubChem:(130361996)	2	430.295288085938	478.422203063965	2328_ms2_res_3104
270	1	1	1	0.462571326777312	-42.5633100712469	1	5024.93385103936	C26H48NO7P	[M + Na]+	WKQNRCYKYCKESD	InChI=1S/C26H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h6-7,9-10,12-13,25,28H,5,8,11,14-24H2,1-4H3/p+1	1-18:3-lysoPC	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	4.4000001	5313992;5313993;24779469;24779470;134776142;134776143;139292123;139292124	COCONUT:(CNP0421217);HMDB:(10388);PubChem:(5313992 5313993 24779469 24779470 134776142 134776143 139292123 139292124);YMDB Mine;CHEBI:(133456 88697);additional;Training Set;PubMed;Biocyc:(CPD-8348)	34362378346	540.307189941406	547.761898040771	2671_ms2_res_3563
271	1	2	2	0.450198156349354	-171.960920612143	1	141.046567154345	C44H88N2O3	[M - H2O + H]+	PAINFIVNYDRXSA	InChI=1S/C44H88N2O3/c1-4-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-42(48)45-39-36-44(3,38-41-47)37-40-46-43(49)35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-5-2/h47H,4-41H2,1-3H3,(H,45,48)(H,46,49)	N-[3-(2-hydroxyethyl)-3-methyl-5-(octadecanoylamino)pentyl]octadecanamide	CCCCCCCCCCCCCCCCCC(=O)NCCC(C)(CCNC(=O)CCCCCCCCCCCCCCCCC)CCO	16.7000008	21348367	PubChem:(21348367)	2	675.674987792969	617.208995819092	3022_ms2_res_4038
272	1	1	1	0.449609079506816	-31.8634776593851	1	8032.80531651834	C26H50NO7P	[M + Na]+	SPJFYYJXNPEZDW	InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h9-10,12-13,25,28H,5-8,11,14-24H2,1-4H3/p+1	1-18:2-lysophosphatidylcholine	CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.0999999	440220;5795662;5280646;5313990;11005824;11988421;20137875;27073180;27073181;101678051;123194483;134767497	HMDB:(10386);SuperNatural:(SN00024230 SN00024231);ZINC bio:(ZINC16343122 ZINC16343125);Plantcyc:(CPD-8347);PubMed;Lipid:(LPC(18:2));COCONUT:(CNP0012462 CNP0086786);Natural Products:(UNPD43989);PubChem:(440220 5795662 5280646 5313990 11005824 11988421 20137875 27073180 27073181 101678051 123194483 134767497);CHEBI:(28733);KEGG:(C04100);YMDB:(2212);Biocyc:(CPD-8347)	4298353002	542.322814941406	559.002742767334	2726_ms2_res_3638
273	1	1	1	0.449603531193619	-31.8648853450869	1	8032.80531651834	C26H50NO7P	[M + Na]+	SPJFYYJXNPEZDW	InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h9-10,12-13,25,28H,5-8,11,14-24H2,1-4H3/p+1	1-18:2-lysophosphatidylcholine	CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.0999999	440220;5795662;5280646;5313990;11005824;11988421;20137875;27073180;27073181;101678051;123194483;134767497	HMDB:(10386);SuperNatural:(SN00024230 SN00024231);ZINC bio:(ZINC16343122 ZINC16343125);Plantcyc:(CPD-8347);PubMed;Lipid:(LPC(18:2));COCONUT:(CNP0012462 CNP0086786);Natural Products:(UNPD43989);PubChem:(440220 5795662 5280646 5313990 11005824 11988421 20137875 27073180 27073181 101678051 123194483 134767497);CHEBI:(28733);KEGG:(C04100);YMDB:(2212);Biocyc:(CPD-8347)	4298353002	542.322692871094	554.25910949707	2702_ms2_res_3606
274	1	1	1	0.449603531193619	-31.8648853450869	1	8032.80531651834	C26H50NO7P	[M + Na]+	SPJFYYJXNPEZDW	InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h9-10,12-13,25,28H,5-8,11,14-24H2,1-4H3/p+1	1-18:2-lysophosphatidylcholine	CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.0999999	440220;5795662;5280646;5313990;11005824;11988421;20137875;27073180;27073181;101678051;123194483;134767497	HMDB:(10386);SuperNatural:(SN00024230 SN00024231);ZINC bio:(ZINC16343122 ZINC16343125);Plantcyc:(CPD-8347);PubMed;Lipid:(LPC(18:2));COCONUT:(CNP0012462 CNP0086786);Natural Products:(UNPD43989);PubChem:(440220 5795662 5280646 5313990 11005824 11988421 20137875 27073180 27073181 101678051 123194483 134767497);CHEBI:(28733);KEGG:(C04100);YMDB:(2212);Biocyc:(CPD-8347)	4298353002	542.322692871094	562.54337310791	2743_ms2_res_3662
275	1	1	1	0.447616509053706	-17.6262962442892	1	23.2997996981261	C17H37NO2	[M + H]+	PGNNMVAZUOZRSM	InChI=1S/C17H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-18(14-16-19)15-17-20/h19-20H,2-17H2,1H3	2,2''-(tridecylimino)diethanol	CCCCCCCCCCCCCN(CCO)CCO	5	109646	PubChem:(109646);PubChem class - safety and toxic	67108866	288.289703369141	460.616083145142	2239_ms2_res_2986
276	1	1	1	0.447597059105729	-17.6271014026105	1	23.2997996981261	C17H37NO2	[M + H]+	PGNNMVAZUOZRSM	InChI=1S/C17H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-18(14-16-19)15-17-20/h19-20H,2-17H2,1H3	2,2''-(tridecylimino)diethanol	CCCCCCCCCCCCCN(CCO)CCO	5	109646	PubChem:(109646);PubChem class - safety and toxic	67108866	288.289733886719	470.044441223145	2286_ms2_res_3048
277	1	2	2	0.446340938047616	-139.145998112707	1	23.4727410935243	C47H91N2O6P	[M + H]+	TXFLWJQVQCDUDZ	InChI=1S/C47H91N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-47(51)48-45(44-55-56(52,53)54-43-42-49(3,4)5)46(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h11,13,20-21,38,40,45-46,50H,6-10,12,14-19,22-37,39,41-44H2,1-5H3,(H-,48,51,52,53)/p+1	N-(15Z-tetracosenoyl)-4E,14Z-sphingadienine-1-phosphocholine	CCCCCCCCC=CCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OCC[N+](C)(C)C)C(C=CCCCCCCCCC=CCCC)O	14.8000002	52931215;52931216;134769068;134769069	PubChem:(52931215 52931216 134769068 134769069);PubMed;CHEBI:(138578)	98	811.668090820313	574.990940093994	2807_ms2_res_3748
278	1	2	2	0.446340938047616	-139.145998112707	1	23.4727410935243	C47H91N2O6P	[M + H]+	TXFLWJQVQCDUDZ	InChI=1S/C47H91N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-47(51)48-45(44-55-56(52,53)54-43-42-49(3,4)5)46(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h11,13,20-21,38,40,45-46,50H,6-10,12,14-19,22-37,39,41-44H2,1-5H3,(H-,48,51,52,53)/p+1	N-(15Z-tetracosenoyl)-4E,14Z-sphingadienine-1-phosphocholine	CCCCCCCCC=CCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OCC[N+](C)(C)C)C(C=CCCCCCCCCC=CCCC)O	14.8000002	52931215;52931216;134769068;134769069	PubChem:(52931215 52931216 134769068 134769069);PubMed;CHEBI:(138578)	98	811.66796875	582.38805770874	2843_ms2_res_3798
